yhat,yhat_lower,yhat_upper,stationOwnerId,date
34.03284518361175,11.895471101576147,57.10133474896374,station_owner_1748555927568,2025-08-03
33.211517973204394,8.999991332714222,55.28940720749872,station_owner_1748555927568,2025-08-09
11.172889793624849,-13.662379288453856,36.84575140737279,station_owner_1748555927568,2025-08-12
4.825087146436694,-18.99951639005332,28.989714998245876,station_owner_1748555927568,2025-08-13
70.05001824824348,46.86833057219084,93.86187040172516,station_owner_1748555927568,2025-08-14
29.029630472663097,4.162108985980201,53.548311853438044,station_owner_1748555927568,2025-08-23
9.49593073859957,-14.177302915587639,33.24924269385986,station_owner_1748555927568,2025-08-25
24.8477429935337,-0.35587023918938665,49.18251463489851,station_owner_1748555927568,2025-09-06
23.578126456663433,-1.7703476502670428,46.00150632377714,station_owner_1748555927568,2025-09-07
5.314043260796485,-17.145762680669044,29.710787972676602,station_owner_1748555927568,2025-09-08
22.756799265983133,-0.3221474965212147,47.44060845643086,station_owner_1748555927568,2025-09-13
-1.3727726270637692,-25.822989024952257,22.071166601777076,station_owner_1748555927568,2025-09-23
17.305295278395633,-5.6048552853955655,42.107536531904636,station_owner_1748555927568,2025-09-28
-0.958787916588685,-26.106511353605853,21.779046419373934,station_owner_1748555927568,2025-09-29
-3.463716352919402,-27.4531156081801,21.37542557243061,station_owner_1748555927568,2025-09-30
-9.8115189972564,-32.12602510308748,14.31765188680987,station_owner_1748555927568,2025-10-01
55.41341210863719,32.727319506634224,77.67787305784276,station_owner_1748555927568,2025-10-02
7.763146276943971,-16.88837538273473,30.816820857114138,station_owner_1748555927568,2025-10-03
16.483968088772507,-6.8825271992471775,42.65236100212383,station_owner_1748555927568,2025-10-04
15.214351552774527,-8.304805166228721,39.12317960399704,station_owner_1748555927568,2025-10-05
-3.0497316423064706,-26.47670599761637,19.90104399466603,station_owner_1748555927568,2025-10-06
-5.554660078595822,-27.52241819539123,19.582205198105388,station_owner_1748555927568,2025-10-07
-11.902462723019617,-35.33505597374238,12.216573361226624,station_owner_1748555927568,2025-10-08
53.32246838282123,29.398477535257737,78.09823681662373,station_owner_1748555927568,2025-10-09
5.672202551155937,-18.20294228907634,28.6363770540349,station_owner_1748555927568,2025-10-10
